year,20,30,40,50,60
1980,7135810,4742582,3913464,2451278,2268171
1985,8315498,5696419,4276720,2963016,2756425
1990,8729809,7408924,4716159,3632871,3319298
1995,8442291,8364103,5535396,3977229,4135287
2000,7945164,8280181,6948359,4318722,5160655
2005,7333970,8209067,8023940,5133735,6254071
2010,6594369,7794495,8204781,6564826,7606903
2015,6796396,7738472,8726984,8220296,9438835
2020,7031016,7106801,8232362,8582699,12172540
2025,6019989,6875904,7679795,8632973,14728776
2030,5062482,7020461,7073577,8167351,17266066
